Year,Month,Day,Hour,Decimal Year,T
1940,4,30,6,1940.3286,3.4978681
1940,4,30,12,1940.3292,6.7379406
1940,4,30,18,1940.3299,20.729242
1940,5,1,0,1940.3306,14.448648
1940,5,1,6,1940.3313,9.052028
1940,5,1,12,1940.332,10.723702
1940,5,1,18,1940.3327,21.464429
1940,5,2,0,1940.3333,14.994786
1940,5,2,6,1940.334,10.840982
1940,5,2,12,1940.3347,10.977517
1940,5,2,18,1940.3354,12.500403
1940,5,3,0,1940.3361,12.159067
1940,5,3,6,1940.3367,11.105299
1940,5,3,12,1940.3374,11.255837
1940,5,3,18,1940.3381,12.969522
1940,5,4,0,1940.3388,10.814725
1940,5,4,6,1940.3395,6.4018553
1940,5,4,12,1940.3402,9.5263984
1940,5,4,18,1940.3408,11.035281
1940,5,5,0,1940.3415,9.662933
1940,5,5,6,1940.3422,6.818461
1940,5,5,12,1940.3429,7.2665748
1940,5,5,18,1940.3436,12.771722
1940,5,6,0,1940.3443,9.0310226
1940,5,6,6,1940.3449,2.6051415
1940,5,6,12,1940.3456,8.2083138
1940,5,6,18,1940.3463,10.436629
1940,5,7,0,1940.347,9.9447546
1940,5,7,6,1940.3477,8.7579533
1940,5,7,12,1940.3484,10.025275
1940,5,7,18,1940.349,9.5596568
1940,5,8,0,1940.3497,8.5146416
1940,5,8,6,1940.3504,6.4473668
1940,5,8,12,1940.3511,6.723937
1940,5,8,18,1940.3518,12.754218
1940,5,9,0,1940.3525,8.6336718
1940,5,9,6,1940.3531,2.8607064
1940,5,9,12,1940.3538,6.9725001
1940,5,9,18,1940.3545,14.191333
1940,5,10,0,1940.3552,8.3571016
1940,5,10,6,1940.3559,2.3618297
1940,5,10,12,1940.3566,6.2933277
1940,5,10,18,1940.3572,14.369878
1940,5,11,0,1940.3579,8.3781069
1940,5,11,6,1940.3586,2.291812
1940,5,11,12,1940.3593,8.1890589
1940,5,11,18,1940.36,15.750978
1940,5,12,0,1940.3607,8.62667
1940,5,12,6,1940.3613,4.2838176
1940,5,12,12,1940.362,4.2488087
1940,5,12,18,1940.3627,10.67469
1940,5,13,0,1940.3634,6.2425648
1940,5,13,6,1940.3641,0.3505692
1940,5,13,12,1940.3648,5.9327362
1940,5,13,18,1940.3654,14.117814
1940,5,14,0,1940.3661,10.559161
1940,5,14,6,1940.3668,7.1195374
1940,5,14,12,1940.3675,11.597174
1940,5,14,18,1940.3682,18.129832
1940,5,15,0,1940.3689,12.775223
1940,5,15,6,1940.3695,6.9689992
1940,5,15,12,1940.3702,11.567416
1940,5,15,18,1940.3709,18.703978
1940,5,16,0,1940.3716,12.871497
1940,5,16,6,1940.3723,8.3343458
1940,5,16,12,1940.373,10.093542
1940,5,16,18,1940.3736,16.675213
1940,5,17,0,1940.3743,14.322616
1940,5,17,6,1940.375,14.130067
1940,5,17,12,1940.3757,13.065797
1940,5,17,18,1940.3764,15.863007
1940,5,18,0,1940.377,11.845737
1940,5,18,6,1940.3777,6.2023046
1940,5,18,12,1940.3784,8.9505022
1940,5,18,18,1940.3791,15.299364
1940,5,19,0,1940.3798,12.096051
1940,5,19,6,1940.3805,7.4153625
1940,5,19,12,1940.3811,10.895246
1940,5,19,18,1940.3818,18.241861
1940,5,20,0,1940.3825,16.129074
1940,5,20,6,1940.3832,11.224329
1940,5,20,12,1940.3839,13.323112
1940,5,20,18,1940.3846,19.166095
1940,5,21,0,1940.3852,14.704213
1940,5,21,6,1940.3859,13.690705
1940,5,21,12,1940.3866,9.9412537
1940,5,21,18,1940.3873,14.868754
1940,5,22,0,1940.388,12.113555
1940,5,22,6,1940.3887,10.679941
1940,5,22,12,1940.3893,11.103549
1940,5,22,18,1940.39,16.458158
1940,5,23,0,1940.3907,12.309605
1940,5,23,6,1940.3914,10.170562
1940,5,23,12,1940.3921,9.1115431
1940,5,23,18,1940.3928,14.172078
1940,5,24,0,1940.3934,9.6051684
1940,5,24,6,1940.3941,6.4753739
